kind	case_id	ordinal	row	path	storage_type	field_type	raw	observation
cell	bucketed_sparse	-1	0	cold_02	-	26	1a040000000000000062315f30	decoded=STRING
cell	bucketed_sparse	-1	1	cold_00	-	7	070b00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	1	cold_01	-	24	1801	decoded=BOOL
cell	bucketed_sparse	-1	1	cold_02	-	26	1a040000000000000062315f31	decoded=STRING
cell	bucketed_sparse	-1	2	cold_00	-	7	070c00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	2	cold_01	-	24	1800	decoded=BOOL
cell	bucketed_sparse	-1	2	cold_02	-	26	1a040000000000000062315f32	decoded=STRING
cell	bucketed_sparse	-1	3	cold_00	-	7	070d00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	3	cold_01	-	24	1801	decoded=BOOL
cell	bucketed_sparse	-1	3	cold_02	-	26	1a040000000000000062315f33	decoded=STRING
cell	bucketed_sparse	-1	4	cold_00	-	7	070e00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	4	cold_01	-	24	1800	decoded=BOOL
cell	bucketed_sparse	-1	4	cold_02	-	26	1a040000000000000062315f34	decoded=STRING
cell	bucketed_sparse	-1	5	cold_00	-	7	070f00000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	5	cold_01	-	24	1801	decoded=BOOL
cell	bucketed_sparse	-1	5	cold_02	-	26	1a040000000000000062315f35	decoded=STRING
cell	bucketed_sparse	-1	6	cold_00	-	7	071000000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	6	cold_01	-	24	1800	decoded=BOOL
cell	bucketed_sparse	-1	6	cold_02	-	26	1a040000000000000062315f36	decoded=STRING
cell	bucketed_sparse	-1	7	cold_00	-	7	071100000000000000	decoded=BIGINT
cell	bucketed_sparse	-1	7	cold_02	-	26	1a040000000000000062315f37	decoded=STRING
cell	bucketed_sparse	-1	8	cold_00	-	7	071200000000000000	decoded=BIGINT
cell	doc	-1	0	flag	-	24	1800	decoded=BOOL
cell	doc	-1	0	id	-	7	070000000000000000	decoded=BIGINT
cell	doc	-1	0	name	-	26	1a02000000000000006e30	decoded=STRING
cell	doc	-1	0	nested.x	-	7	076400000000000000	decoded=BIGINT
cell	doc	-1	0	ratio	-	11	0b000000000000e03f	decoded=DOUBLE
cell	doc	-1	1	flag	-	24	1801	decoded=BOOL
cell	doc	-1	1	id	-	7	070100000000000000	decoded=BIGINT
cell	doc	-1	1	name	-	26	1a02000000000000006e31	decoded=STRING
cell	doc	-1	1	nested.x	-	7	076500000000000000	decoded=BIGINT
cell	doc	-1	1	ratio	-	11	0b000000000000f83f	decoded=DOUBLE
cell	doc	-1	2	flag	-	24	1800	decoded=BOOL
cell	doc	-1	2	id	-	7	070200000000000000	decoded=BIGINT
cell	doc	-1	2	name	-	26	1a02000000000000006e32	decoded=STRING
cell	doc	-1	2	nested.x	-	7	076600000000000000	decoded=BIGINT
cell	doc	-1	2	ratio	-	11	0b0000000000000440	decoded=DOUBLE
cell	doc	-1	3	flag	-	24	1801	decoded=BOOL
cell	doc	-1	3	id	-	7	070300000000000000	decoded=BIGINT
cell	doc	-1	3	name	-	26	1a02000000000000006e33	decoded=STRING
cell	doc	-1	3	nested.x	-	7	076700000000000000	decoded=BIGINT
cell	doc	-1	3	ratio	-	11	0b0000000000000c40	decoded=DOUBLE
cell	doc	-1	4	flag	-	24	1800	decoded=BOOL
cell	doc	-1	4	id	-	7	070400000000000000	decoded=BIGINT
cell	doc	-1	4	name	-	26	1a02000000000000006e34	decoded=STRING
cell	doc	-1	4	nested.x	-	7	076800000000000000	decoded=BIGINT
cell	doc	-1	4	ratio	-	11	0b0000000000001240	decoded=DOUBLE
cell	doc	-1	5	flag	-	24	1801	decoded=BOOL
cell	doc	-1	5	id	-	7	070500000000000000	decoded=BIGINT
cell	doc	-1	5	name	-	26	1a02000000000000006e35	decoded=STRING
cell	doc	-1	5	nested.x	-	7	076900000000000000	decoded=BIGINT
cell	doc	-1	5	ratio	-	11	0b0000000000001640	decoded=DOUBLE
cell	doc	-1	6	flag	-	24	1800	decoded=BOOL
cell	doc	-1	6	id	-	7	070600000000000000	decoded=BIGINT
cell	doc	-1	6	name	-	26	1a02000000000000006e36	decoded=STRING
cell	doc	-1	6	nested.x	-	7	076a00000000000000	decoded=BIGINT
cell	doc	-1	6	ratio	-	11	0b0000000000001a40	decoded=DOUBLE
cell	doc	-1	7	flag	-	24	1801	decoded=BOOL
cell	doc	-1	7	id	-	7	070700000000000000	decoded=BIGINT
cell	doc	-1	7	name	-	26	1a02000000000000006e37	decoded=STRING
cell	doc	-1	7	nested.x	-	7	076b00000000000000	decoded=BIGINT
cell	doc	-1	7	ratio	-	11	0b0000000000001e40	decoded=DOUBLE
cell	ordinary_sparse	-1	0	array	-	19	130200000000000000070000000000000000070100000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	0	flag	-	24	1800	decoded=BOOL
cell	ordinary_sparse	-1	0	lct_double	-	11	0b0000000000000000	decoded=DOUBLE
cell	ordinary_sparse	-1	0	lct_int	-	7	070100000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	0	object.x	-	7	070000000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	0	text	-	26	1a02000000000000007330	decoded=STRING
cell	ordinary_sparse	-1	1	array	-	19	130200000000000000070100000000000000070200000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	1	flag	-	24	1801	decoded=BOOL
cell	ordinary_sparse	-1	1	lct_double	-	11	0b000000000000f83f	decoded=DOUBLE
cell	ordinary_sparse	-1	1	lct_int	-	7	070200000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	1	object.x	-	7	070100000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	1	text	-	26	1a02000000000000007331	decoded=STRING
cell	ordinary_sparse	-1	2	array	-	19	130200000000000000070200000000000000070300000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	2	flag	-	24	1800	decoded=BOOL
cell	ordinary_sparse	-1	2	lct_double	-	11	0b0000000000000040	decoded=DOUBLE
cell	ordinary_sparse	-1	2	lct_int	-	7	070300000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	2	object.x	-	7	070200000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	2	text	-	26	1a02000000000000007332	decoded=STRING
cell	ordinary_sparse	-1	3	array	-	19	130200000000000000070300000000000000070400000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	3	flag	-	24	1801	decoded=BOOL
cell	ordinary_sparse	-1	3	lct_double	-	11	0b0000000000000c40	decoded=DOUBLE
cell	ordinary_sparse	-1	3	lct_int	-	7	070400000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	3	object.x	-	7	070300000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	3	text	-	26	1a02000000000000007333	decoded=STRING
cell	ordinary_sparse	-1	4	array	-	19	130200000000000000070400000000000000070500000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	4	flag	-	24	1800	decoded=BOOL
cell	ordinary_sparse	-1	4	lct_double	-	11	0b0000000000001040	decoded=DOUBLE
cell	ordinary_sparse	-1	4	lct_int	-	7	070500000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	4	object.x	-	7	070400000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	4	text	-	26	1a02000000000000007334	decoded=STRING
cell	ordinary_sparse	-1	5	array	-	19	130200000000000000070500000000000000070600000000000000	decoded=ARRAY
cell	ordinary_sparse	-1	5	flag	-	24	1801	decoded=BOOL
cell	ordinary_sparse	-1	5	lct_double	-	11	0b0000000000001640	decoded=DOUBLE
cell	ordinary_sparse	-1	5	lct_int	-	7	070600000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	5	text	-	26	1a02000000000000007335	decoded=STRING
cell	ordinary_sparse	-1	6	flag	-	24	1800	decoded=BOOL
cell	ordinary_sparse	-1	6	lct_double	-	11	0b0000000000001840	decoded=DOUBLE
cell	ordinary_sparse	-1	6	lct_int	-	7	070700000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	6	text	-	26	1a02000000000000007336	decoded=STRING
cell	ordinary_sparse	-1	7	flag	-	24	1801	decoded=BOOL
cell	ordinary_sparse	-1	7	lct_double	-	11	0b0000000000001e40	decoded=DOUBLE
cell	ordinary_sparse	-1	7	lct_int	-	7	070800000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	8	lct_double	-	11	0b0000000000002040	decoded=DOUBLE
cell	ordinary_sparse	-1	8	lct_int	-	7	070900000000000000	decoded=BIGINT
cell	ordinary_sparse	-1	9	lct_int	-	7	070a00000000000000	decoded=BIGINT
column	bucketed_sparse	0	-1	$key	5	-	-	column_id=0;unique_id=1;parent_uid=4294967295;encoding=BIT_SHUFFLE;compression=LZ4;nullable=false;rows=12;raw=48;compressed=59;uncompressed=59
column	bucketed_sparse	1	-1	$variant	35	-	-	column_id=1;unique_id=2;parent_uid=4294967295;encoding=DICT_ENCODING;compression=LZ4;nullable=false;rows=12;raw=0;compressed=0;uncompressed=0
column	bucketed_sparse	2	-1	hot	7	-	-	column_id=1;unique_id=-1;parent_uid=2;encoding=BIT_SHUFFLE;compression=LZ4;nullable=true;rows=12;raw=0;compressed=0;uncompressed=0
column	bucketed_sparse	3	-1	__DORIS_VARIANT_SPARSE__.b0	20	-	-	column_id=2;unique_id=-1;parent_uid=2;encoding=UNKNOWN_ENCODING;compression=LZ4;nullable=false;rows=12;raw=0;compressed=0;uncompressed=0
column	bucketed_sparse	4	-1	__DORIS_VARIANT_SPARSE__.b1	20	-	-	column_id=3;unique_id=-1;parent_uid=2;encoding=UNKNOWN_ENCODING;compression=LZ4;nullable=false;rows=12;raw=0;compressed=0;uncompressed=0
column	bucketed_sparse	5	-1	__DORIS_VARIANT_SPARSE__.b2	20	-	-	column_id=4;unique_id=-1;parent_uid=2;encoding=UNKNOWN_ENCODING;compression=LZ4;nullable=false;rows=12;raw=0;compressed=0;uncompressed=0
column	doc	0	-1	$key	5	-	-	column_id=0;unique_id=1;parent_uid=4294967295;encoding=BIT_SHUFFLE;compression=LZ4;nullable=false;rows=8;raw=32;compressed=54;uncompressed=54
column	doc	1	-1	$variant	35	-	-	column_id=1;unique_id=2;parent_uid=4294967295;encoding=DICT_ENCODING;compression=LZ4;nullable=false;rows=8;raw=0;compressed=0;uncompressed=0
column	doc	2	-1	__DORIS_VARIANT_DOC_VALUE__.b0	20	-	-	column_id=1;unique_id=-1;parent_uid=2;encoding=UNKNOWN_ENCODING;compression=LZ4;nullable=false;rows=8;raw=0;compressed=0;uncompressed=0
column	ordinary_sparse	0	-1	$key	5	-	-	column_id=0;unique_id=1;parent_uid=4294967295;encoding=BIT_SHUFFLE;compression=LZ4;nullable=false;rows=13;raw=52;compressed=59;uncompressed=59
column	ordinary_sparse	1	-1	$variant	35	-	-	column_id=1;unique_id=2;parent_uid=4294967295;encoding=DICT_ENCODING;compression=LZ4;nullable=false;rows=13;raw=0;compressed=0;uncompressed=0
column	ordinary_sparse	2	-1	collision	7	-	-	column_id=1;unique_id=-1;parent_uid=2;encoding=BIT_SHUFFLE;compression=LZ4;nullable=true;rows=13;raw=0;compressed=0;uncompressed=0
column	ordinary_sparse	3	-1	hot	7	-	-	column_id=2;unique_id=-1;parent_uid=2;encoding=BIT_SHUFFLE;compression=LZ4;nullable=true;rows=13;raw=0;compressed=0;uncompressed=0
column	ordinary_sparse	4	-1	__DORIS_VARIANT_SPARSE__	20	-	-	column_id=3;unique_id=-1;parent_uid=2;encoding=UNKNOWN_ENCODING;compression=LZ4;nullable=false;rows=13;raw=0;compressed=0;uncompressed=0
deferred	nested_group	-1	-1	$	-	-	-	status=deferred;task=T5.9
segment	bucketed_sparse	-1	-1	$segment	-	-	-	file_size=2715;storage_format=V2;footer=inline
segment	doc	-1	-1	$segment	-	-	-	file_size=1540;storage_format=V2;footer=inline
segment	ordinary_sparse	-1	-1	$segment	-	-	-	file_size=2190;storage_format=V2;footer=inline
