case_id	row	path	source_type	value
doc	5	$	JSON	{"flag":true,"id":5,"name":"n5","nested":{"x":105},"nullish":null,"ratio":5.5}
doc	6	$	JSON	{"flag":false,"id":6,"name":"n6","nested":{"x":106},"nullish":null,"ratio":6.5}
doc	7	$	JSON	{"flag":true,"id":7,"name":"n7","nested":{"x":107},"nullish":null,"ratio":7.5}
bucketed_sparse	0	cold_00	BIGINT	10
bucketed_sparse	0	cold_01	BOOL	false
bucketed_sparse	0	cold_02	STRING	b1_0
bucketed_sparse	0	hot	BIGINT	0
bucketed_sparse	1	cold_00	BIGINT	11
bucketed_sparse	1	cold_01	BOOL	true
bucketed_sparse	1	cold_02	STRING	b1_1
bucketed_sparse	1	hot	BIGINT	1
bucketed_sparse	10	hot	BIGINT	10
bucketed_sparse	11	hot	BIGINT	11
bucketed_sparse	2	cold_00	BIGINT	12
bucketed_sparse	2	cold_01	BOOL	false
bucketed_sparse	2	cold_02	STRING	b1_2
bucketed_sparse	2	hot	BIGINT	2
bucketed_sparse	3	cold_00	BIGINT	13
bucketed_sparse	3	cold_01	BOOL	true
bucketed_sparse	3	cold_02	STRING	b1_3
bucketed_sparse	3	hot	BIGINT	3
bucketed_sparse	4	cold_00	BIGINT	14
bucketed_sparse	4	cold_01	BOOL	false
bucketed_sparse	4	cold_02	STRING	b1_4
bucketed_sparse	4	hot	BIGINT	4
bucketed_sparse	5	cold_00	BIGINT	15
bucketed_sparse	5	cold_01	BOOL	true
bucketed_sparse	5	cold_02	STRING	b1_5
bucketed_sparse	5	hot	BIGINT	5
bucketed_sparse	6	cold_00	BIGINT	16
bucketed_sparse	6	cold_01	BOOL	false
bucketed_sparse	6	cold_02	STRING	b1_6
bucketed_sparse	6	hot	BIGINT	6
bucketed_sparse	7	cold_00	BIGINT	17
bucketed_sparse	7	cold_02	STRING	b1_7
bucketed_sparse	7	hot	BIGINT	7
bucketed_sparse	8	cold_00	BIGINT	18
bucketed_sparse	8	hot	BIGINT	8
bucketed_sparse	9	hot	BIGINT	9
